row,headline,fp_labels,gt_vehicles,gt_incidents,url
274,Police vehicle detected responding to incident,vehicle:police,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/12/QquciU00di8sqN0BYhxrjx5ewCw0.jpg?Expires=1812850149&Signature=M0LV21VnTopUfkYiS0QPaXCkYqCoASuNewSUWDRMQCxcciLlngOk1YBuCuRt8xppTvUtcSzIcBj0JA~eFhVCPWjdEUlbHHVJWi0-B7tOJB5c7YTZymPGmdF~JbcMyJfA1AUTtujZe9y2cS-N84p-1H2JlhIeOQ6iXdqgLLBhtZaxJOiXIeCr6XGVyY5x1Xj81l0~hTZyc7yWiGR02GTI1BdJ8wNAIqATqOUkp-BAiWmw3INArs4krn2CNqHjErh1-L~eoXxXz6rIYpwnpQZQ1kjvWsD2zNExkq6iGfu20CzFnAv882nV1TBhF6ExJusdihotsxkr-Zaa3aaLd89eug__&Key-Pair-Id=K1LXZK7POOSHBA
275,No emergency vehicles visible,vehicle:none,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/KAK4Mx1MI8E0wE7UJrwoSmx7cnk0.jpg?Expires=1812829465&Signature=OZJHs8-KbLtRn4FoI9K1FnUiLjbtZsPFBmU1Vct5QLtlratNydOfzl3s0v9QPitkJD~Tj9qAPjanHow38M00lHrhoA7HRNCHLVz15Apq2BCQAiUna~sU1w6udcysDyKYmQO~GB4uRBvk5J~MzTiW~ygUP~yz2etu9-CPQrc1UxyCTjSNWwfAs55ZCfSVCn5I7ETPolHdsrlvudOteNzOcm0HtbhxVSfrnemJYOXNQAJYpZZkMy0tRpWjZYLdi50mN1haCq~z8Dgefh7XYT~AfjSlY3YdmIXmbL3BqRqXAbSxGgAqMcBy7~FRYAvOokWa0GJLRkR0ifhVeae6CyyOTw__&Key-Pair-Id=K1LXZK7POOSHBA
277,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,crash,https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/b9f1LswnrCeZhBjwXp78sNlMYu40.jpg?Expires=1812834423&Signature=OmS1-RqXN3pYqITZRO9tHDod9VuptZpLz~An4NRfRg6QyNJddIbBZ8yoz~WTxqfnvLrxP1DarkJ2QkO14Dsxbpd5smRzL2vKAcIntkkTXQkgRPkgarcKbkdi9PcdrQj4FfDTcRyxInXMxvB1U1dBEmjC~gZ6GF~i4arOkNf7PWjQ2M95zIfjJmsFtWQdXzzV-eBYEzW~hrw16c4SqEzVi9k8B1PinBtVcpGlLp47X5vRSB6bciNuQabQ9zFbLOz2xiLG0tDG6sYXokqGout67ZeVMytTNPXNSRMEAvbnLTXfWR-BR1iSO2nPrjWPdOdIBxs-MB~ORF8mIw~iipwdjQ__&Key-Pair-Id=K1LXZK7POOSHBA
278,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/24/GZmeOB8G6Gr5BSDzpi7C5tt0f600.jpg?Expires=1811279884&Signature=MEw1emOz9QkihOp6I34Ogf-MvuRAGnbfVwO57Z-rgbmo-CBOv82RPT2uKwuewTSO3VJm5ghbBurR8iiEQjOs6BNxf3hyWND~kMbiXwxtQPsPXrE6Daus2kA-~-NvU4baMBEj3C47jFyWg5m26wg58CbBz7UspJAFhgMxrlbHGwgfJbesKKy-ACLX3Ouo5-7687MelB3G3uxbGdwrJIF1I0-oKaa3Vq3qetrsjaee4yzUiLHz0EYffFTKUlSvBx4g8xtQ7hHVuz1p-CRSLfh1RN70CfrCKUPd2c9B0fzcWzkwt3ZWAXk1zW~s7zMaU8tIAU9VJBpprDTxmb8D7gG7Ew__&Key-Pair-Id=K1LXZK7POOSHBA
279,No emergency vehicles visible,vehicle:none,ambulance,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/22/Ff7hcPS31eYe57X8MyC8oNkYAGs0.jpg?Expires=1811098093&Signature=UFv8XgIEBBp1eZrXGdAF9A2x9PzYukcnzhlCWmiYdF5awQxxhSmvKVlahkGaCL77q-ugQMJ3weCCsIuPoD-maZ3A19eVIKzwRuMAe3L4G21U~A5IFCpvt2YlO3Kp8kjfbpaxrjbKMcy1i-62pJYjcxzjVgqcnTYx8iU~GtzgEb2Bh2tWeMqx-P9Bq8~s0S8ERaamGi~44Qu5tQiNa468FUOJ~aW48RDIlzYHVaQVWDvpI4ikW5jITc9VNWVt-D0CA-ITeruoT8bn2oikjyI~VCkq5vKtDun3rPyuoS0VVWr~w3q0NaNnIWoxGBABE5qDDMFZObgR5SXBMI2cNjlzRA__&Key-Pair-Id=K1LXZK7POOSHBA
280,Police vehicles detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/ySoKCjKrMKLEmUKZoS8l0QDltDE0.jpg?Expires=1812807892&Signature=f55nJ0nT1Bzkfs8Wm2MCk-HIErGvGgVEK1qwAmgodrtd00ZptZ0qDIY4rTkoSk8pfxvkj8SWLVVz1ZWWVqpBEDf-A-SW-E9R9de4kL0PLumC3yxGUKER67Krsb~m7SGUkQE39T6EX2Ze9tNPLCRHSc4yRywjzuUJMsiP9bUKWvHzrEvt3TrUz7IwXfBEoBOiruJNXeEcay52csEjuA-orjrhWMUobCWskF-DNqU2yPZao6BvTBGHfJJLzVMaPBqjxWHYSZX6YcELKIUlAFs8VwjGQi5S2ECAIJlaccUCppON6iX3kjtXAbcrFCkJi-30C8yfoDET8fYDGR4-DK3SkA__&Key-Pair-Id=K1LXZK7POOSHBA
283,"Police vehicles, Fire trucks, and Ambulance detected responding to crash",incident:crash,police; fire; ambulance,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/27/7qEYxrYy7dG8Crb7lPYakpftQaE0.jpg?Expires=1811505663&Signature=qmPmBEXs-wsf4cctGSn5GCrT7Vof2QwMRlTxSOXFZnR6Ai9diBgackZCoHoY-mt7z1rbWORX78FY8IKh0M7fMWikfgGsQpEMg95EM9ed6TiQQy95YaDL7HVFZ1XhR9yJ1AowFVlCx~s~l0qJmffm8~oyLOc8877i2ACKrZ7Wgb5og3kdq65fTbpZPXazN2aCviQ1KmTLUxulpaCIr41blZkt4UrLt1wTzZDubi-LDMsAVr9507aTul9UfFD1jSmOQbgcQFJ46FaiwHPqcqsaOtBbAwip4DzPgglAKZgYdl~0Igxw-pDaNo~x8tDFo~ERisI6e0MJXbL4gqK3jXfFZA__&Key-Pair-Id=K1LXZK7POOSHBA
288,No emergency vehicles visible,vehicle:none,police,crash,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/24/c563l7ZEwM8poeX83RKRHtZN9ag0.jpg?Expires=1811268837&Signature=Ga4H4MpoaJTkdVDGa1cqxRGvj7r8q98RGjNSBitcolV1rUC7HBYIBXSAcpi9K-Gfn7ImLUZOeyIWDT3TQ40qm1YlX-4c~ZoNc694t3MreCICcL7breLUc3dN5TwFEImIJFcZhZdgVVjcsP~skEf5EAqdbc2DGGTc4RmaguZBH16EOEy~6G8a20rFoZABv~mL791wJEsgDSAjxHoCoYeRL3zzi3-3Vpero5qYO~lr6qtQgXCO3lfEGpS~RfMSGko6ypJVXTTVOGhrbYTg6caWHrSMpQDxzc8goq80OxYyZWT-0bQE4HSp76QcNTPUY6~8PeYWhm8rU4abZIqwec~7fA__&Key-Pair-Id=K1LXZK7POOSHBA
289,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/i0mTRPrEUhdsyGIemEmUrMD2eUs0.jpg?Expires=1812807831&Signature=djNah9BWU2dmYMWaWuR8tF7J-Ef-N3NdaAyQpv7amEih0-oh2tCtwj7btLW3lXB~FQ66h~3DPuzec5ka8GITgKjlVOrnUuYACJAvuLit11lh~LLswx3zOcukXzGABGrWQ9DhGHHoTmygL480kQ2036aA5SDNd1Ffs1GNyXrJxp0H~yRe7HbUJTBKqQqwGSfteEdKUOYq9eDdiEMlzJ3G7Ry2VeCAHltj7~a5PQOKnGzVo49nR1yPL~GMgUhfgUd51tukHA15LvOiRyOitNs0gVvrQH0z1OorB3u~XruCO2tsbfmZBmnbQEPz5apUaTwJvlCxWkCvJi12r0TdvBSwNw__&Key-Pair-Id=K1LXZK7POOSHBA
291,Police vehicles detected responding to construction,vehicle:police; incident:construction,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/12/6aXQ2AYjQAdm77pQkzeAFLypvtA0.jpg?Expires=1812858882&Signature=apOjBdQmVxaZ4gYjYXypMfw0dDVOydm01~W3kTu1r~V4GOHW3u2WCz~8w0zCJY6o9w5i46cJbJKuSyglpVy5cP1HhMoxUZCjD1x9ESpnBHZ3h~aCYaDx2DMGnkjQQ-hFKircnJa1NTiBqPaF3qFqx-RpEla-H4wRxcbryVn9TZ8c1FkZsqGu97KpdIyqcEeL7Tan9X32M~gsr0uVAUafbz77bdjHODF6hKnJkvG5U0xu0lzYcx9tUSqy-83R6hG1KDhuRTM1RESvaGpYlVHIYzfk5TMqaL67dWO8L5WBaWpnGD6NnfURrHfS6gZU9Ofs9VzbjNoxHygf-LATMrklCA__&Key-Pair-Id=K1LXZK7POOSHBA
292,Police vehicles detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/22/KlUpCmsMSzp4m6WQqYDdXXwY0wo0.jpg?Expires=1811063082&Signature=BVAt4~wlT5~5oSI7FAUi24vD4Utuz8bftutPeGNyMxfGC3KJuXESoYDW8QNxC8w717D~TqDumYXUJzDrFDpbDqb8M0YECVONeHT47hjngiD0S-JPEgRDtWzctHyLdFc7AMIiO3X~dvmoR6VVUq8Cr8nSu76M3m9PWARr9JAU78FipgCrGfxW~Ire-~ouAGUhokymreA8m0aAO83OrykX8795JPgi9D4gZjpH8YHF4TZcniMBBdX4UrhZcadpmfe8jAbHKQHomAygn2ikHg~ogf9n8nfRlE0Wfth6XygxCzOZIMf7yd75ovgbVOw5qdiqdjiKtEMpgR3byfcMVr~XdA__&Key-Pair-Id=K1LXZK7POOSHBA
295,Police vehicle detected responding to pulled-over vehicle,vehicle:police; incident:pulled_over,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/23/eC0aI3rIPrftsqPLoNMYWmTv0Bo0.jpg?Expires=1811173946&Signature=STvweETnglnwVenmrV8Ovik4FEMCkAGrDZxb-OI8b6UoFx9ovt4oTI~LmOlGuAfR3Fe9ZacEN27mfsgJeZITHBiH3fLtHfGVGSzX86mYusNGum-n8QjWDnXGtKN55WbBqV7VqhmxfzRjCfi4-Z24FznpyR-IWXBS76spnLU42vbobbGdjmSKrrSuXaAE-kDONKNFJ~fpBRgiP3PMpImcrnaXUwufsvJ2s5IY~U8ZEODZiy3n-0ySQGY9iM60sjohQXgl6tKqaY0WeqPTVLAyr2c3jBYYJJAQY~Z~qexIzWtswefKTVl1idGTXAx9dyoJNBnHKQwPNt8NntvK~wjUPg__&Key-Pair-Id=K1LXZK7POOSHBA
298,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/23/hXMGCPdRv6epO009xcF7ovOq0fs0.jpg?Expires=1811165778&Signature=wsXQ5qoSS2HWQQ7E~zmx9U3z5~oYTkYb6lR7VeOEoepKoYThOy6RQZe7OMAf7GAg-l4gB3tVVRu4wL016pWNEBwwWw9lhMo-Sjiom0R7T-s8ZaVnoW~fCBLgSk8Ub54GHsUWFQALFoeIJs5342pRvYoD5ce~9iwJLUh6tyLWwqsSEJTf08DrEoSAmLq5WN4eNOmbNj9lileEuViD6Jl6vyeBJxJexOLn~tbkhOl2KvnxJ9u65zpkNHR~lPqj1uOSEWtcQC2eOAQX~CkoQ8VTYwkB8l5bT2Ozp1mojvryYJQnuwk1UP~lnstT8r18GxQnOZdFfM~3C5ZjB8eeZ5v0JA__&Key-Pair-Id=K1LXZK7POOSHBA
299,Police vehicle detected responding to blocked road,incident:blocked_road,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/22/pyEidwxpGefYsXwhpsUYRZbsVp00.jpg?Expires=1811099573&Signature=qQrMiRb~Jl0aEcdH8hdjco5lbmrwRV9bD8S4AOFaPWeQKs4tdzdhtGcXV9xKv0yfZxzb8MrWJ5v07J4Qb9l-lEK6-nmLxxHZegvVgPxfCYko7rEPii22uthZYcf~trf9Ibe-YSoQKqgthqpJvBTsF~3Tg54Z0bnsycNig5c1kci6MPwrfbkuRKR8qxno4An8OrcKP0gtUxLdTqecYftOpOlY2cr4vkfQme4DQTevj5Ra5wj5q2Xtdihdf34mYpYapmnFSLlBkIlSFDZvdCat79qHb4fh2yeUCWPKMop1bdxmp1UjAk9qtXXB745Od49Sqf45bKdVzWEN6LjEhW2urA__&Key-Pair-Id=K1LXZK7POOSHBA
301,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/22/HWtrKd1OgVZs3ZRNbkbWgtVNzp40.jpg?Expires=1811070039&Signature=JA2ZdSXwgweHMleh3eCjMY3xCdD8B2ofBGeLVf-5I~AMUJ~fV55-yAzh8kLu1dThHTwcqb8hPsJRUuCAcxixFSc3MUVCnzZd8woDIDJ2y4oG45lNr7SHYVf5mL4PdfN5evYeBOAcbzUvEBRP7X4Yo9AkG1DbG3VxkVELNa07lTC6nO7uCBRmathr6zg-G5l1OJ4BV91mSCISWpq6VTOF0GB7Lt3B0Ino6u1r4i6Vlrq4HGdVkLa-8p7v7EAaTuiiX1-~eQ9lJyb3l0UyoEkD237YKUaUd3ge9EodYbpfWrRvTOltfaoG9SDxStQ6nMdNbzVu8Lb6yNYrhPew1CyDxg__&Key-Pair-Id=K1LXZK7POOSHBA
303,No emergency vehicles visible,vehicle:none,police,pulled_over,https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/liMDYI6FZJb0EjMwF1rUBC8JS0Y0.jpg?Expires=1812824541&Signature=Gfl3JF8IlBUP0lf9bKObbaj11QLIP13T62kX-O3Zo6ow6TgY6PMSl4GvDh4nhGqBxUrqCbBaoOJER2UrsxuMCiJb45tNlCASREXAEeZVy5td~bd1dWhWwvUAXmBn5dVPTvUFtMWxUPUJVfpQrjS1ONNPTzVhk4egkxcKOhboiTLJRBvhI6pIQQK7~y1OqXBwa1SHE1SN-czCSi10AIZQqpqS8ldtnLpMQfjSt6B8mvZa3wXpuEtFKwAL592rBXMxx2AxVpz2TE6M-ImBZTmIsPEac7tivx6jKpNwvqpfpSHnYWs32Z8Vn790N3UEO7xj4lJ2I6f~Yh7GFv8SaU7j4A__&Key-Pair-Id=K1LXZK7POOSHBA
