DE TOPICS,DE GUID,Active DE Topic?,News External,News GUID,Gov External,Gov GUID,Finance External,Finance GUID,Corporate Security External,CS GUID,PR External,PR Guid
COUNTER-Terrorism Activity,188265,1,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Public Safety - Transnational|Conflicts|Terrorism - Counterterrorism,2833729988092843991|410001|400109,,,Crime - Transnational|Conflicts,124009|335630,,
A3 USAF,188266,1,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Infrastructure - Communications,154015,,,,,,
Cartels,188267,0,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Public Safety - Goods and Services|Public Safety - Transnational|Conflicts,2783920394155723317|2833729988092843991|410001,,,Crime - Narcotics|Crime - Transnational|Crime - Criminal Activity|Conflicts,124007|124009|124028|335630,,
City Knowledge,188268,0,,,,,,,,,,
PS Knowledge,188269,0,,,,,,,,,,
Cryptocurrency - Alt Coins,188271,1,,,Business,410000,Alt Coins,134005,Business,177711,,
Cryptocurrency - Major Coins,188272,1,,,Business,410000,Major Coins,134006,Business,177711,,
Cryptocurrency - Industry,188273,1,Business - Cryptocurrency,67177469537839049,Business & Economics - Cryptocurrency,400000,Industry,134007,Business and Economics - Cryptocurrency|Business|Business & Economics - Cryptocurrency,961907|177711|853071,,
Aviation - Brand Incidents,188274,1,Transportation - Aviation|Transportation and Infrastructure,67177469537839067|3740096349638483156,Transportation - Aviation - Logistics,400117,,,Transportation - Aviation|Service Quality & Public Perception|Transportation - Aviation - Logistics,124024|214218|853056,Infrastructure and Disruption - Aviation,200016
PS Knowledge - Land,188275,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Conflicts - Land|Conflicts - Land|Conflicts - Land,154002|154013|400009,,,,,,
PS Knowledge - Air,188276,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Conflicts - Air|Conflicts - Air,154001|400008,,,,,,
PS Knowledge - Sea,188277,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Conflicts - Sea|Conflicts - Sea,154003|400010,,,,,,
Reputation,188278,1,,,,,,,Service Quality & Public Perception,214218,Corporate - Reputation,200059
Earnings,188279,1,,,Business,410000,,,Business,177711,Corporate - Earnings,200060
Regulation,188280,1,,,"Politics|Government, Policy & Political Affairs - Regulation",410007|400037,,,"Government, Policy, and Political Affairs - Regulation|Politics|Government, Policy, & Political Affairs - Regulation|Politics & Policy",961916|201466|853090|963003,Government and Policy - Regulation,200061
Threats - Personal Safety,188281,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Precautions - General Precautions,154016,,,,,,
Trending,188282,0,,,,,,,,,,
Threats - Corporate & Commercial,188283,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Precautions - General Precautions|Threats|Threats & Precautions - Corporate & Commercial|Threats & Precautions,154016|410009|400111|420135,Threats and Precautions,5743835351368118638,Threats and Precautions|Threats|Threats & Precautions|Threats|Threats,124023|101669|853097|500001|500007,Infrastructure and Disruption - Commercial and Residential,200052
Threats - Public Safety,188284,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Precautions - General Precautions|Threats|Threats & Precautions - Uncategorized|Threats & Precautions,154016|410009|400114|420135,,,Threats and Precautions|Threats|Threats & Precautions|Threats|Threats,124023|101669|853097|500001|500007,,
Threats - Critical Infrastructure,188285,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Precautions - Critical Infrastructure|Threats|Threats & Precautions - Government & Critical Infrastructure|Threats & Precautions,154017|410009|400112|420135,,,Threats|Threats & Precautions|Threats|Threats,101669|853097|500001|500007,,
Threats - Organizations,188286,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Precautions - Critical Infrastructure|Threats|Threats & Precautions - State & Non-State|Threats & Precautions,154017|410009|400113|420135,,,Threats|Threats & Precautions|Threats|Threats,101669|853097|500001|500007,,
Defense - Subsurface,188257,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Technology - Nautical,154006,,,,,,
Defense - Reputation,188288,1,Conflict & Unrest|Politics & Policy - Military Affairs|Conflict and Unrest,67177469537839089|67177469537839065|8489189951164124970,Politics and International Affairs - Military Affairs|Defense & Intel Developments - Military Affairs,154010|400031,,,,,,
Infrastructure - Public Housing & Emergency Shelter,188289,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Housing|Transportation & Infrastructure,154019|410010,,,Transportation & Infrastructure,726708,,
Search and Rescue,188290,1,Weather & Natural Disasters - Uncategorized Weather & Natural Disasters|Natural Disasters,67177469537839087|7092045622162124419,Disasters and Weather - Search and Rescue|Physical Threats - Disasters & Weather|Disasters & Weather,154020|420034|410004,,,Disasters and Weather - Natural Disasters|Disasters & Weather,124013|106677,Public Safety and Unrest - Natural Disasters and Fires,200025
Cyber - Threats & Vulnerabilities,188291,0,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity,204296875911565365|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities,124022|124030|853086,Public Safety and Unrest - Cybersecurity,200015
Cyber - Crime & Malicious Activity,188292,0,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity,204296875911565365|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Crime and Malicious Activity|Cybersecurity - Crime & Malicious Activity,124022|124031|853084,Public Safety and Unrest - Cybersecurity,200015
Cyber - Policy,188294,0,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Regulations|Cybersecurity,154021|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Policy|Cybersecurity - Policy,124022|124032|853085,Public Safety and Unrest - Cybersecurity,200015
Defense - Technology,188295,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Technology - Developments|Military Developments & Tech - Defense Technology,154018|400077,,,,,,
Crime - Active,188296,1,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Public Safety - Safety Risks|Physical Threats - Crime|Crime,7012068851255801581|420033|410002,,,Crime - Criminal Activity|Crime,124028|247357,Public Safety and Unrest - Crime and Terrorism,200003
Crime - Non-Active,188297,1,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Public Safety - Safety Information|Physical Threats - Crime|Crime,154022|420033|410002,,,Crime - Criminal Activity|Crime,124028|247357,Public Safety and Unrest - Crime and Terrorism,200003
Infrastructure - Government,188298,1,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Infrastructure - Diplomatic|Transportation & Infrastructure|Infrastructure Security - Government Buildings,154023|410010|400051,,,Transportation & Infrastructure|Infrastructure Security - Government Buildings,726708|853034,,
Advertising,188299,1,,,,,,,,,,
Publishing,188300,1,,,,,,,,,,
Aviation - Industry,188301,1,,,,,,,,,,
Clothing & Apparel,188302,1,,,,,,,,,,
Autos and Parts,188303,1,,,,,,,,,,
Leisure - Casinos & Gaming,188304,1,,,,,,,,,,
Consumer - Alcohol,188305,1,,,,,,,,,,
Consumer - Soft Drinks,188306,1,,,,,,,,,,
Consumer - Tobacco,188307,1,,,,,,,,,,
Consumer - Personal & Household Products,188308,1,,,,,,,,,,
Industrials - Equipment & Machinery,188309,1,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Financials - Diversified Banks & Asset Management,188310,1,,,,,,,,,,
Financials - Consumer Finance & Regional Banks,188311,1,,,,,,,,,,
Food Products & Supply,188312,1,,,,,,,,,,
Healthcare - Biotechnology & Pharmaceuticals,188313,1,,,,,,,,,,
"Healthcare - Facilities, Equipment, & Services",188314,1,,,,,,,,,,
"Leisure - Hotels, Resorts, & Cruises",188315,1,,,,,,,,,,
Industrials - Conglomerates,188316,1,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Insurance - Healthcare,188317,1,,,,,,,,,,
"Insurance - Auto, Home, & Life",188318,1,,,,,,,,,,
Entertainment - Industry,188319,1,,,,,,,,,,
Oil & Gas - Industry,188320,1,,,,,,,,,,
Leisure - Restaurants,188321,1,,,,,,,,,,
"Retail - Supermarkets, Food & Drug",188322,1,,,,,,,,,,
Retail - Department Stores,188323,1,,,,,,,,,,
"Retail - Electronics, Home, & Other",188324,1,,,,,,,,,,
Tech - Consumer Electronics,188325,1,,,,,Technology - Hardware,6585499759793697023,,,,
Tech - Networking Equipment,188326,1,,,,,Technology - Hardware,6585499759793697023,,,,
Consulting & Commercial Services,188327,1,,,,,,,,,,
Telecommunications,188328,1,,,,,Technology - Telecom,7576489919848523750,,,,
Maritime - Industry,188329,1,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Rail - Industry,188330,1,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Utilities - Industry,188331,1,,,,,,,,,,
COVID - Education and Community Response,188332,1,Health Issues,7999775135343173770,Public Health - Diseases|Public Health - Diseases,8672449468060180885|400090,Health - Disease Outbreak,4022233168060710482,Public Health - Diseases|Public Health - Diseases|Health Issues,124019|853094|963002,Public Safety and Unrest - Health Risks,200013
COVID - Cases and Statistics,188333,1,Health Issues,7999775135343173770,Public Health - Diseases|Public Health - Diseases,8672449468060180885|400090,Health - Disease Outbreak,4022233168060710482,Public Health - Diseases|Public Health - Diseases|Health Issues,124019|853094|963002,Public Safety and Unrest - Health Risks,200013
COVID - Corporate Response,188334,1,Health Issues,7999775135343173770,Public Health - Diseases|Public Health - Diseases,8672449468060180885|400090,Health - Disease Outbreak,4022233168060710482,Public Health - Diseases|Public Health - Diseases|Health Issues,124019|853094|963002,Public Safety and Unrest - Health Risks,200013
COVID - Government Response,188335,1,Health Issues,7999775135343173770,Public Health - Policy|Public Health - Diseases|Public Health - Diseases,1285958834545956466|8672449468060180885|400090,Health - Disease Outbreak,4022233168060710482,Public Health - Diseases|Public Health - Diseases|Health Issues,124019|853094|963002,Public Safety and Unrest - Health Risks,200013
COVID - Healthcare Developments,188336,1,Health Issues,7999775135343173770,Public Health - Diseases|Public Health - Diseases,8672449468060180885|400090,Health - Disease Outbreak,4022233168060710482,Public Health - Diseases|Public Health - Diseases|Health Issues,124019|853094|963002,Public Safety and Unrest - Health Risks,200013
COVID - Public Disruption,188337,1,Health Issues,7999775135343173770,Public Health - Diseases|Public Health - Diseases,8672449468060180885|400090,Health - Disease Outbreak,4022233168060710482,Public Health - Diseases|Public Health - Diseases|Health Issues,124019|853094|963002,Public Safety and Unrest - Health Risks,200013
Info Review - R&D COVID,188338,0,,,,,,,,,,
Public Health - Research & Innovation,188339,1,Health Issues,7999775135343173770,Public Health - Technology|Public Health - Policy & Technology,154040|400092,,,Public Health - Policy and Technology|Public Health - Policy & Technology,124020|853096,,
COVID - Research & Innovation,188340,1,Health Issues,7999775135343173770,Public Health - Technology|Public Health - Diseases|Public Health - Diseases,154040|8672449468060180885|400090,Health - Disease Outbreak,4022233168060710482,Public Health - Diseases|Public Health - Diseases|Health Issues,124019|853094|963002,Public Safety and Unrest - Health Risks,200013
Info Review - COVID,188341,0,,,,,,,,,,
Support Request - R&D,188342,1,,,,,,,,,,
US Election Risks - R&D,188343,0,,,,,,,,,,
Alpha - R&D,188344,1,,,,,,,,,,
US Election Risks - Public,188345,0,Politics & Policy - Politics|Politics,67177469537839099|5043005248907950115,"Politics and International Affairs - U.S. Politics|Politics|Government, Policy & Political Affairs - U.S. Politics",1149361769391542577|410007|400040,,,"Government, Policy, and Political Affairs - U.S. Politics|Politics|Election Integrity - Misleading Info|Government, Policy, & Political Affairs - U.S. Politics|Politics & Policy",124016|201466|961909|853092|963003,,
2020 US Elections,188346,0,Politics & Policy - Politics|Politics,67177469537839099|5043005248907950115,"Politics and International Affairs - U.S. Politics|Politics|Government, Policy & Political Affairs - U.S. Politics",1149361769391542577|410007|400040,,,"Government, Policy, and Political Affairs - U.S. Politics|Politics|Election Integrity - Situational Awareness|Government, Policy, & Political Affairs - U.S. Politics|Politics & Policy",124016|201466|961910|853092|963003,,
Cyber - Data Exposure & Breaches - Data Security,188347,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Data Exposure & Breaches|Cybersecurity,204296875911565365|410003|420028|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Crime and Malicious Activity|Data Exposure and Breaches|Cybersecurity - Crime & Malicious Activity|Data Exposure & Breaches,124022|124031|961960|853084|963155,Public Safety and Unrest - Cybersecurity,200015
Cyber - Phishing - Attack Vector,188348,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Phishing|Cybersecurity,204296875911565365|410003|420007|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Crime and Malicious Activity|Phishing|Cybersecurity - Crime & Malicious Activity,124022|124031|961962|853084,Public Safety and Unrest - Cybersecurity,200015
Cyber - Advanced Persistent Threats - Threat Actors,188349,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Threat Actors - Advanced Persistent Threats|Cybersecurity|Cybersecurity - Advanced Persistent Threats,204296875911565365|410003|420038|410003|400026,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Crime and Malicious Activity|Advanced Persistent Threats|Cybersecurity - Crime & Malicious Activity|Threat Actors - Advanced Persistent Threats,124022|124031|961958|853084|963135,Public Safety and Unrest - Cybersecurity,200015
Cyber - Email & Web Servers - Vulnerabilities,188350,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Exposure Management - Network Vulnerabilities|Cybersecurity,204296875911565365|410003|420042|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Email and Web Servers|Cybersecurity - Threats & Vulnerabilities|Exposure Management - Network Vulnerabilities,124022|124030|961954|853086|963159,Public Safety and Unrest - Cybersecurity,200015
Cyber - Vulnerability Disclosures - Vulnerabilities,188351,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Vulnerability Disclosures|Cybersecurity,204296875911565365|410003|420048|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Vulnerability Disclosures|Cybersecurity - Threats & Vulnerabilities,124022|124030|961956|853086,Public Safety and Unrest - Cybersecurity,200015
Cyber - Legal & Policy,188352,0,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Regulations|Cybersecurity,154021|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Policy|Legal and Policy|Cybersecurity - Policy,124022|124032|961965|853085,Public Safety and Unrest - Cybersecurity,200015
Cyber - Network Disruptions - Attack Vector,188353,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Attack Vector - Network Disruptions|Cybersecurity,204296875911565365|410003|420005|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Crime and Malicious Activity|Attack Vector - Network Disruptions|Cybersecurity - Crime & Malicious Activity,124022|124031|961964|853084,Public Safety and Unrest - Cybersecurity,200015
Cyber - Illicit Sales & Services,188354,0,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity,204296875911565365|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Crime and Malicious Activity|Illicit Sales and Services|Cybersecurity - Crime & Malicious Activity,124022|124031|961963|853084,Public Safety and Unrest - Cybersecurity,200015
Cyber - Cryptocurrency - Illicit Activity,188355,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity,204296875911565365|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Crime and Malicious Activity|Cybersecurity - Crime & Malicious Activity,124022|124031|853084,Public Safety and Unrest - Cybersecurity,200015
Infrastructure - Non-Profit,188356,1,,,,,,,,,,
Contract Govt,188357,1,,,,,,,PS Contracting,961950,,
Cyber - Industrial Control Systems & Internet of Things - Cyber-Physical,188358,0,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity,204296875911565365|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Industrial Control Systems and Internet of Things|Cybersecurity - Threats & Vulnerabilities,124022|124030|961951|853086,Public Safety and Unrest - Cybersecurity,200015
Cyber - Encryption & Certificates - Vulnerabilities,188359,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Exposure Management - Expired SSL Certificates,204296875911565365|410003|420044,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Encryption and Certificates|Cybersecurity - Threats & Vulnerabilities|Exposure Management - Expired SSL Certificates,124022|124030|961952|853086|963157,Public Safety and Unrest - Cybersecurity,200015
Cyber - Remote Access & Management Systems - Vulnerabilities,188360,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Exposure Management - Open Ports,204296875911565365|410003|420046,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Remote Access and Management Systems|Cybersecurity - Threats & Vulnerabilities|Exposure Management - Open Ports,124022|124030|961953|853086|963158,Public Safety and Unrest - Cybersecurity,200015
Cyber - Exploits & Bug Bounties - Vulnerabilities,188362,0,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity,204296875911565365|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Exploits & Bug Bounties|Cybersecurity - Threats & Vulnerabilities,124022|124030|961955|853086,Public Safety and Unrest - Cybersecurity,200015
Cyber - Doxxing & Leaked Credentials - Data Security,188364,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Leaked Credentials & Doxxing,204296875911565365|410003|420029,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Doxxing and Leaked Credentials|Cybersecurity - Threats & Vulnerabilities|Leaked Credentials & Doxxing,124022|124030|961957|853086|963130,Public Safety and Unrest - Cybersecurity,200015
Cyber - Ransomware - Threat Actors,188366,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Threat Actors - Ransomware|Cybersecurity - Ransomware,204296875911565365|410003|420040|400028,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Threats and Vulnerabilities|Ransomware|Cybersecurity - Threats & Vulnerabilities|Threat Actors - Ransomware,124022|124030|961959|853086|963156,Public Safety and Unrest - Cybersecurity,200015
Cyber - Malware - Attack Vector,188368,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Malware,204296875911565365|410003|420004,Technology - Cyber Security,9110684186012733106,Cybersecurity|Cybersecurity - Crime and Malicious Activity|Malware|Cybersecurity - Crime & Malicious Activity,124022|124031|961961|853084,Public Safety and Unrest - Cybersecurity,200015
Convention Centers - Physical,188372,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Transportation & Infrastructure|Infrastructure Security - Convention Centers,410010|400048,,,Transportation & Infrastructure|Infrastructure - Commercial|Infrastructure Security - Convention Centers,726708|124029|853020,,
Hotels - Physical,188373,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Transportation & Infrastructure|Infrastructure Security - Hotels,410010|400053,,,Transportation & Infrastructure|Infrastructure - Commercial|Infrastructure Security - Hotels,726708|124029|853021,,
Pipelines - Physical,188374,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Industrials|Transportation & Infrastructure|Infrastructure Security - Pipelines,154036|410010|400056,,,Transportation & Infrastructure|Infrastructure - Resources and Production|Infrastructure Security - Pipelines,726708|124012|853022,,
Refineries - Physical,188375,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Industrials|Transportation & Infrastructure|Infrastructure Security - Refineries,154036|410010|400059,,,Transportation & Infrastructure|Infrastructure - Resources and Production|Infrastructure Security - Refineries,726708|124012|853023,,
Mines - Physical,188376,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Industrials|Transportation & Infrastructure|Infrastructure Security - Mines,154036|410010|400055,,,Transportation & Infrastructure|Infrastructure - Resources and Production|Infrastructure Security - Mines,726708|124012|853024,,
Factories - Physical,188377,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Industrials|Transportation & Infrastructure|Infrastructure Security - Factories,154036|410010|400050,,,Transportation & Infrastructure|Infrastructure - Resources and Production|Infrastructure Security - Factories,726708|124012|853025,,
Power Plants - Physical,188378,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Industrials|Transportation & Infrastructure|Infrastructure Security - Power Plants,154036|410010|400058,,,Transportation & Infrastructure|Infrastructure - Resources and Production|Infrastructure Security - Power Plants,726708|124012|853026,,
Ports - Physical,188379,1,Transportation - Maritime|Transportation and Infrastructure,67177469537839068|3740096349638483156,Transportation - Maritime|Transportation & Infrastructure|Infrastructure Security - Ports,154028|410010|400057,,,Transportation & Infrastructure|Infrastructure - Commercial|Infrastructure Security - Ports,726708|124029|853027,,
Banks - Physical,188380,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Transportation & Infrastructure|Infrastructure Security - Banks,410010|400047,,,Transportation & Infrastructure|Infrastructure - Commercial|Infrastructure Security - Banks,726708|124029|853028,,
Data Centers - Physical,188381,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Communications|Transportation & Infrastructure|Infrastructure Security - Data Centers,154015|410010|400049,,,Transportation & Infrastructure|Infrastructure - Commercial|Infrastructure Security - Data Centers,726708|124029|853029,,
Malls - Physical,188382,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Transportation & Infrastructure|Infrastructure Security - Malls,410010|400054,,,Transportation & Infrastructure|Infrastructure - Commercial|Infrastructure Security - Malls,726708|124029|853030,,
+ Shootings - Active,188383,1,Crime & Public Safety,67177469537839053,Crime - Shootings,400022,,,Crime - Shootings,853000,,
+ Shootings - Non-Active,188384,1,Crime & Public Safety,67177469537839053,Crime - Shootings,400022,,,Crime - Shootings,853000,,
+ Stabbings - Active,188385,1,Crime & Public Safety,67177469537839053,Crime - Stabbings,400023,,,Crime - Stabbings,853098,,
+ Stabbings - Non-Active,188386,1,Crime & Public Safety,67177469537839053,Crime - Stabbings,400023,,,Crime - Stabbings,853098,,
+ Robbery - Active,188387,1,Crime & Public Safety,67177469537839053,Crime - Robberies,400021,,,Crime - Robberies,853001,,
+ Robbery - Non-Active,188388,1,Crime & Public Safety,67177469537839053,Crime - Robberies,400021,,,Crime - Robberies,853001,,
+ Lockdowns & Evacuations - Active,188389,1,Crime & Public Safety,67177469537839053,Crime - Lockdowns & Evacuations,400020,,,Crime - Lockdowns & Evacuations,853002,,
+ Lockdowns & Evacuations - Non-Active,188390,1,Crime & Public Safety,67177469537839053,Crime - Lockdowns & Evacuations,400020,,,Crime - Lockdowns & Evacuations,853002,,
+ Arson - Active,188391,1,Crime & Public Safety,67177469537839053,Crime - Arson,400012,,,Crime - Arson,853003,,
+ Arson - Non-Active,188392,1,Crime & Public Safety,67177469537839053,Crime - Arson,400012,,,Crime - Arson,853003,,
+ Arson - Public Disruption,188393,1,Crime & Public Safety,67177469537839053,Crime - Arson,400012,,,Crime - Arson,853003,,
+ Kidnappings - Active,188394,1,Crime & Public Safety,67177469537839053,Crime - Kidnappings,400018,,,Crime - Kidnappings,853004,,
+ Kidnappings - Non-Active,188395,1,Crime & Public Safety,67177469537839053,Crime - Kidnappings,400018,,,Crime - Kidnappings,853004,,
+ Kidnappings - Transnational,188396,1,Crime & Public Safety,67177469537839053,Crime - Kidnappings,400018,,,Crime - Kidnappings,853004,,
+ Suspicious Packages & Devices - Active,188397,1,Crime & Public Safety,67177469537839053,Crime - Suspicious Packages & Devices,400024,,,Crime - Suspicious Packages & Devices,853005,,
+ Suspicious Packages & Devices - Non-Active,188398,1,Crime & Public Safety,67177469537839053,Crime - Suspicious Packages & Devices,400024,,,Crime - Suspicious Packages & Devices,853005,,
+ Hijackings & Hostage Situations - Active,188399,1,Crime & Public Safety,67177469537839053,Crime - Hijackings & Hostage Situations,400017,,,Crime - Hijackings & Hostage Situations,853006,,
+ Hijackings & Hostage Situations - Non-Active,188400,1,Crime & Public Safety,67177469537839053,Crime - Hijackings & Hostage Situations,400017,,,Crime - Hijackings & Hostage Situations,853006,,
+ Bomb Threats - Active,188401,1,Crime & Public Safety,67177469537839053,Crime - Bomb Threats,400014,,,Crime - Bomb Threats,853007,,
+ Bomb Threats - Non-Active,188402,1,Crime & Public Safety,67177469537839053,Crime - Bomb Threats,400014,,,Crime - Bomb Threats,853007,,
+ Cargo Theft - Active,188403,1,Crime & Public Safety,67177469537839053,Crime - Cargo Theft,400015,,,Crime - Cargo Theft,853008,,
+ Cargo Theft - Non-Active,188404,1,Crime & Public Safety,67177469537839053,Crime - Cargo Theft,400015,,,Crime - Cargo Theft,853008,,
+ Assaults - Active,188405,1,Crime & Public Safety,67177469537839053,Crime - Assaults,400013,,,Crime - Assaults,853009,,
+ Assaults - Non-Active,188406,1,Crime & Public Safety,67177469537839053,Crime - Assaults,400013,,,Crime - Assaults,853009,,
+ Arrests - Active,188407,1,Crime & Public Safety,67177469537839053,Crime - Arrests,400011,,,Crime - Arrests,853010,,
+ Arrests - Non-Active,188408,1,Crime & Public Safety,67177469537839053,Crime - Arrests,400011,,,Crime - Arrests,853010,,
+ Emergency Response - Active,188409,1,Crime & Public Safety,67177469537839053,Crime - Emergency Response,400016,,,Crime - Emergency Response,853011,,
+ Emergency Response - Non-Active,188410,1,Crime & Public Safety,67177469537839053,Crime - Emergency Response,400016,,,Crime - Emergency Response,853011,,
+ Crime - Active - Non-Matching,188411,1,Crime & Public Safety,67177469537839053,Crime - Uncategorized Crime,400025,,,Crime - Uncategorized Crime,853012,,
+ Crime - Non-Active - Non-Matching,188412,1,Crime & Public Safety,67177469537839053,Crime - Uncategorized Crime,400025,,,Crime - Uncategorized Crime,853012,,
+ Public Disruption - Non-Matching,188413,1,,,,,,,,,,
+ Crime - Transnational - Non-Matching,188414,1,Crime & Public Safety,67177469537839053,Crime - Uncategorized Crime,400025,,,Crime - Uncategorized Crime,853012,,
+ Explosions,188415,1,Hazards - Uncategorized Hazards,67177469537839058,Hazards - Explosions,400042,,,Hazards - Explosions,853013,,
+ Structure Fires,188416,1,Hazards - Structure Fires,67177469537839057,Hazards - Structure Fires,400044,,,Hazards - Structure Fires,853014,,
+ Structure Collapses,188417,1,Hazards - Building Collapses,67177469537839055,Hazards - Building Collapses,400041,,,Hazards - Building Collapses,853015,,
+ Fires & Collapses - Non-Matching,188418,1,Hazards - Uncategorized Hazards,67177469537839058,Hazards - Uncategorized Hazards,400045,,,Hazards - Uncategorized Hazards,853017,,
+ Airports - Physical,188419,1,,,Infrastructure Security - Airports,400046,,,Infrastructure Security - Airports,853018,,
+ Train Stations - Physical,188420,1,,,Infrastructure Security - Train Stations,400062,,,Infrastructure Security - Train Stations,853019,,
